tt1278336;Div?¸;Div?¸;2009;17.4.2009;Comedy, Drama, Romance;90;Brazil;Portuguese;Jos?© Alvarenga Jr.;Martha Medeiros, Marcelo Saback;Globo Filmes;L??lia Cabral, Jos?© Mayer, Reynaldo Gianecchini, Cau?¸ Reymond, Alexandra Richter, Eduardo Lago, Paulo Gustavo, Antonio Pedro, Elias Gleizer, Vera Mancini, Duda Mamberti, Helena Fernandes, Julianne Trevisol, C?©sar Cardadeiro, Johnny Massaro;In Rio de Janeiro, the forty-something year old, Mercedes, goes to the psychoanalyst and tells the story of her life - from a child who lost her mother. Over three years of analysis, her ...;6.apr;733;;;;;3.0;4.0
tt1278340;Dead Snow;D??d sn??;2009;9.1.2009;Comedy, Horror;92;Norway;Norwegian;Tommy Wirkola;Tommy Wirkola, Stig Frode Henriksen;Euforia Film;Vegar Hoel, Stig Frode Henriksen, Charlotte Frogner, Lasse Valdal, Evy Kasseth R??sten, Jeppe Beck Laursen, Jenny Skavlan, Ane Dahl Torp, Bj??rn Sundquist, ?òrjan Gamst;A ski vacation turns horrific for a group of medical students, as they find themselves confronted by an unimaginable menace: Nazi zombies.;6.mar;63289;$ 800000;$ 46742;$ 2166797;61.0;216.0;231.0
tt1278447;Sikandar;Sikandar;2009;21.8.2009;Crime, Drama, Mystery;110;India;Hindi, Urdu;Piyush Jha;Piyush Jha, Kumaar;Big Pictures;Parzaan Dastur, Ayesha Kapoor, Sanjay Suri, Madhavan, Nassar Abdulla, Akash Aditya, Irfan Choudhary, Mushtaq Kak, Gulzar Khan, Nazir Khan, Nishat Khan, Sunil Kumar, Parvez Malik, Khurshid Mir, Dilip Raj;14-year-old Sikandar Raza has been living with his uncle and aunt in Kashmir, ever since his parents were killed by militants 10 years ago. The young boy, who dreams of a better life for ...;6.apr;258;;$ 1954;$ 1954;;6.0;10.0
tt1279329;Warriors of the Apocalypse;Warriors of the Apocalypse;2009;3.8.2012;Action, Sci-Fi, Thriller;88;USA;English;Len Kabasinski;Len Kabasinski;KillerWolf Films;Brian Anthony, Brian Arrington, Gary Barickman, Luc Bernier, Matt Borczon, Sara Brooks, Steve Brown, Darian Caine, Jimmy Crissman, Debbie D, Bob Dobiesz, Andrew Ferrick, Brian Heffron, Len Kabasinski, Robert Kurek;After WWIII has devastated the USA, a small band of female warriors attempt to survive long enough to make it to the last city left. The problem is dictator Rollins doesn't want her city ...;2.jul;178;;;;;7.0;2.0
tt1279966;Rivers Wash Over Me;Rivers Wash Over Me;2009;6.6.2009;Drama, Romance;87;USA;English;John G. Young;Darien Sills-Evans, John G. Young;D Street Pictures;Julia Carothers Hughes, Elizabeth Dennis, Terrance Epps, Tina Jetter, Leslie Jones, Paul Kelly, Alain Lauture, Sonequa Martin-Green, Cameron Mitchell Mason, Duane McLaughlin, Derrick L. Middleton, Conor Romero, Xosha Roquemore, Aidan Schultz-Meyer, Darien Sills-Evans;After his mother dies, Sequan, a sensitive teenager from Brooklyn, moves in with relatives living in a small town plagued with secrets hidden deep within its lush, rural Alabama terrain. ...;5.sep;198;;;;;4.0;5.0
tt1281374;Don McKay;Don McKay;2009;24.4.2009;Drama, Mystery, Thriller;87;USA;English;Jake Goldberger;Jake Goldberger;Animus Films;Thomas Haden Church, Rachel Harker, Stephen Benson, M. Emmet Walsh, Melissa Leo, Elisabeth Shue, Amanda George, James Rebhorn, Bates Wilder, Keith David, Melissa Rosal, Meagan Hawkes, Dossy Peabody, Robert Wahlberg, Pruitt Taylor Vince;Don McKay, a high school janitor who leaves his hometown after a tragedy, returns 25 years later to rekindle a romance with his old flame, who is dying, but this homecoming brings McKay more than he bargained for.;5.avg;2237;;$ 13722;$ 13722;50.0;17.0;36.0
tt1282024;Blessed;Blessed;2009;10.9.2009;Drama;113;Australia;English;Ana Kokkinos;Andrew Bovell, Melissa Reeves;Blessed Film Productions;Frances O'Connor, Miranda Otto, Deborra-Lee Furness, Victoria Haralabidou, Monica Maughan, Wayne Blair, William McInnes, Tasma Walton, Sophie Lowe, Anastasia Baboussouras, Harrison Gilbertson, Eamon Farren, Eva Lazzaro, Reef Ireland, Melanie Beddie;Seven lost children wander the night streets while their mothers await their return home.;6.maj;699;;;$ 237752;;15.0;24.0
tt1282025;Breaking Nikki;Breaking Nikki;2009;1.2.2009;Horror, Thriller;91;Argentina;English;Hern?ˇn Findling;Hern?ˇn Findling, Nicanor Loreti;1971Cine;Maria Ines Alonso, Oliver Kolker, Veronica Mari, Maxime Seug?©;A call girl is hired to play the part of a client's ex-wife. However, little does she realize that she is the victim of his dark revenge, as she finds herself trapped in a sick game that is about to spiral bloodily out of control.;3.avg;140;;;;;1.0;1.0
tt1282083;Shoot the Duke;Shoot the Duke;2009;3.12.2009;Action, Comedy, Thriller;77;Germany;English, German;Stephen Manuel;Thomas Jahn, Thomas Jahn;Stormlight Films;Stephen Baldwin, Bettina Zimmermann, Thomas Heinze, Matthias Dietrich, Kostas Sommer, John Friedmann, Axel Wedekind, Sanjay Shihora, Vivian Viehof, Nina Kristin, Ben Posener, Tom Strauss, Clayton Nemrow, Alex Tondowski, Ron Matz;;3.jul;330;;;;;2.0;2.0
tt1282155;L'homme de chevet;L'homme de chevet;2009;18.11.2009;Drama, Romance;92;France;French, Spanish;Alain Monne;Eric Holder, Alain Monne;Cine Nomine;Sophie Marceau, Christopher Lambert, Margarita Rosa de Francisco, Rodolfo De Souza, Linnett Hernandez Valdes, Salvatore Basile, Elizabeth del Carmen Bonilla Isaza, Yamile Cardenas Moreno, Hancel Gonzalez Forero, Anibal Gonzalez Parra, Diogenes Guerra Miranda, Julian Iragorri, Juliana Morales Uribe, Nelson Pallares Narvaez, Alberto Thiele Cenzato;Muriel is beautiful, free-spirited and bed-ridden since a horrific accident. Leo is a drunk middle-aged ex-boxer. Desperate for work and unqualified, he interviews for Muriel, who hires him...;6.jul;1085;EUR 3000000;;$ 1549367;;4.0;6.0
tt1282156;Une affaire d'?©tat;Une affaire d'?©tat;2009;25.11.2009;Thriller;99;France;French;Eric Valette;Alexandre Charlot, Franck Magnier;Les Chauves-Souris;Rachida Brakni, Andr?© Dussollier, Thierry Fr?©mont, Christine Boisson, G?©rald Laroche, Serge Hazanavicius, Eric Savin, Jean-Michel Martial, Jean-Marie Winling, Laurent Bateau, Olivier Schneider, ??lodie Navarre, Denis Podalyd?¨s, Delphine Depardieu, Paul Minthe;A plane explodes above the Gulf of Guinea. An escort girl is murdered in a Parisian park. Thousands of miles separate these two events, and yet Nora Chahyd, believes there's a connection ...;6.mar;544;;;$ 1273589;;2.0;6.0
tt1282257;Un buen hombre;Un buen hombre;2009;30.4.2009;Crime, Drama;97;Spain;Spanish;Juan Mart??nez Moreno;Juan Mart??nez Moreno;Castafiore Films;Miguel de Lira, Emilio Guti?©rrez Caba, Alberto Jim?©nez, Noelia Noto, Nathalie Poza, Jorge Ricoy, Trist?ˇn Ulloa;A law school professor witnesses his colleague, friend and mentor murder his own wife. Rather than turn his friend in, he disowns him, but the decision leads to more danger.;6.feb;180;;;$ 309437;;2.0;2.0
tt1283540;The Brotherhood V: Alumni;The Brotherhood V: Alumni;2009;18.1.2009;Horror, Thriller;86;USA;English;David DeCoteau;Moses Rutegar;here! Films;Brett Novek, Arthur Napiontek, Preston Davis, Maria Aceves, Nathan Parsons, Oskar Rodriguez, Lindsey Landers;When a group of pretty alumnae from Sunnydale High school receive invitations for a reunion at their alma mater, the fallout from an unsolved murder on their prom night comes back to haunt ...;2.jun;263;$ 1000000;;;;1.0;5.0
tt1283911;Herpes Boy;Herpes Boy;2009;24.10.2009;Comedy;85;USA;English;Nathaniel Atcheson;Byron Lane;Rude Films;Byron Lane, Ahna O'Reilly, Beth Grant, Zack Silva, Julianna McCarthy, Michael Chieffo, Octavia Spencer, Larry Weissman, Mary Chieffo, Seth Stallings, Malcolm Ridley, Adrian Kali Turner, Jeaneen Tang, Melissa Lee, Ethan Sharrett;A social outcast with a facial birthmark finds his world flipped upside down after he posts videos of his quirky life onto the Internet and becomes an unwilling cyber-celebrity.;5.jan;140;;;;;1.0;1.0
tt1283976;Earthwork;Earthwork;2009;20.5.2011;Drama;93;USA;English;Chris Ordal;Chris Ordal;CO,ink.;John Hawkes, Bruce MacVittie, Chris Bachand, Scott Allegrucci, Bob Augelli, Everett Dexter, Tecia Esposito, Brendon Glad, Sam Greenlee, Zach Grenier, Matthew Hensley, Jackson Hoy, Keaton Hoy, Dragan Ilich, Ed Kershen;The story of real-life crop artist Stan Herd. In 1994, Stan risked everything and traveled from Kansas to New York City to create a massive environmental artwork on land owned by Donald Trump.;7.apr;372;$ 1000000;;;53.0;14.0;14.0
tt1284656;Twists of Fate;Twists of Fate;2009;30.9.2012;Action, Crime;86;USA;English;Conrad Glover, Pat Cerrato;John King Fiore;Dream x~Treme Productions;Rick Borgia, Deborah Ludwig, Michael Kincade, Jason Schaeffer, Ann C. Ryan, Gaetano Iacono, Matt Murray, Gerard Adimando, Conrad Glover, Daniel Werzinger, Stephen Berke, Greenfield Bianca, Louis Borgia, Sal Borgia, Kristina Dargelyte;Joey Demarco has just spent the last fifteen years in prison and wants nothing to do with his former life. However, revenge is inevitable in a life of crime.;4.jan;105;$ 100000;;;;2.0;
tt1285010;Summer's Moon;Summer's Blood;2009;2.11.2009;Horror, Thriller;91;Canada;English;Lee Demarbre;Travis Stevens, Sean Hogan;Zed Filmworks;Ashley Greene, Peter Mooney, Barbara Niven, Stephen McHattie, Peter Michael Dillon, Cinthia Burke, Paul Whitney, Sean Tucker, Daniel Simpson, Teri Loretto, Dani Kind, Allison Graham, Cathy Lynn Symonds;A family of serial killers stalk a young woman out to find the father she's never known.;4.apr;3049;;;;;29.0;21.0
tt1285216;Dark Nature;Dark Nature;2009;2009;Horror, Thriller;76;UK;English;Marc de Launay;Eddie Harrison;Mandragora Productions;Niall Greig Fulton, Vanya Eadie, Joanna Miller, Tom Carter, Imogen Toner, Doreen McGillivray, James Bryce, Jane Stabler, Callum Warren-Brooker, Len McCaffer;A family holiday turns into a fight for survival in the inhospitable wilderness of remote Scotland.;2.sep;252;;;;;12.0;16.0
tt1285217;Deadfall Trail;Deadfall Trail;2009;2.7.2011;Horror, Thriller;98;USA;English;Roze;Candace Rose, Roze;Gas Mask Films;Richard Anderson, Rosalie Michaels, Shane Dean, Cavin Gray, Katrina M. Ryan, Slade Hall, Aaron Neal Trout;The tough, no-nonsense Julian and his more laid-back friend John are a couple of veteran campers who decide to embark on a no-frills expedition into the deep Arizona wilderness. Obnoxious ...;4.jan;654;$ 100000;;;;10.0;13.0
tt1285228;Victor;Victor;2009;7.10.2009;Comedy;95;France;French;Thomas Gilou;Lisa Azuelos, Mich?¨le Fitoussi;Vertigo;Lambert Wilson, Pierre Richard, Sara Forestier, Lilou Fogli, Antoine Dul?©ry, Cl?©mentine C?©lari?©, Marianne Borgo, Ludovic Berthillot, Sophie Mounicot, Catherine Hosmalin, Ars?¨ne Mosca, Jean-Fran?§ois Gallotte, Isabelle Doval, H?©l?¨ne Bizot, Caroline Bourg;When a family wins a contest to adopt Victor, an 85-year-old man, the magazine intern who hatched the idea must undo what has been done.;5.0;205;;;$ 1199837;;1.0;4.0
tt1285243;Due partite;Due partite;2009;6.3.2009;Drama;94;Italy;Italian;Enzo Monteleone;Cristina Comencini, Enzo Monteleone;Cattleya;Margherita Buy, Isabella Ferrari, Marina Massironi, Paola Cortellesi, Carolina Crescentini, Valeria Milillo, Claudia Pandolfi, Alba Rohrwacher;Every Thursday a group of ladies would gather to play cards and discuss their loves, lives and children while their daughters played in the next room. Thirty years later, the daughters meet...;6.maj;337;;;$ 2027829;;;8.0
